Host_ReportedName,IUCNsp_recognized,IUCN_name,host_type,host_stage,taxon_level,database_genus,order_name,family_name,genus_name,category,synonymization_source,host_stage_source
Citellus columbianus,YES,Urocitellus columbianus,WILD,intermediate,species,Urocitellus,RODENTIA,SCIURIDAE,Urocitellus,LC,,
Citellus undulatus,YES,Urocitellus undulatus,WILD,intermediate,species,Urocitellus,RODENTIA,SCIURIDAE,Urocitellus,LC,,
Clerthrionomys glareolus,YES,Myodes glareolus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Clethrionomys,YES,Myodes,WILD,intermediate,genus,Myodes,RODENTIA,CRICETIDAE,Myodes,NA,,
Clethrionomys glareolus,YES,Myodes glareolus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Clethrionomys rex,YES,Myodes rex,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Clethrionomys rufocanus,YES,Myodes rufocanus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Clethrionomys rutilus,YES,Myodes rutilus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Clethronomys rufocanus bedfordiae,YES,Myodes rufocanus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
coyote,YES,Canis latrans,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Coyote,YES,Canis latrans,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
coyote ,YES,Canis latrans,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Cricetulus griseus,NO,Cricetulus griseus,DOMESTIC,intermediate,species,Cricetulus,RODENTIA,CRICETIDAE,Cricetulus,NA,,
Cricetulus migratorius,YES,Cricetulus migratorius,WILD,intermediate,species,Cricetulus,RODENTIA,CRICETIDAE,Cricetulus,LC,,
Crocidura gmelini,YES,Crocidura gmelini,WILD,intermediate,species,Crocidura,EULIPOTYPHLA,SORICIDAE,Crocidura,LC,,Beiromvand et al. 2013
Dicrostonyx sp.,YES,Dicrostonyx,WILD,intermediate,genus,Dicrostonyx,RODENTIA,CRICETIDAE,Dicrostonyx,NA,,
dog,NO,Canis familiaris,DOMESTIC,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,NA,,
Dog,NO,Canis familiaris,DOMESTIC,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,NA,,
dogs,NO,Canis familiaris,DOMESTIC,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,NA,,
Ellobius tancrei,YES,Ellobius tancrei,WILD,intermediate,species,Ellobius,RODENTIA,CRICETIDAE,Ellobius,LC,,
Eospalax fontanierii,YES,Eospalax fontanierii,WILD,intermediate,species,Eospalax,RODENTIA,SPALACIDAE,Eospalax,LC,,
Equus caballus,NO,Equus caballus,DOMESTIC,aberrant,species,Equus,PERISSODACTYLA,Equidae,Equus,NA,,
Felis catus,NO,Felis catus,DOMESTIC,definitive,species,Felis,CARNIVORA,FELIDAE,Felis,NA,,
Felis domesticus,NO,Felis catus,DOMESTIC,definitive,species,Felis,CARNIVORA,FELIDAE,Felis,NA,,
Felis silvestris,YES,Felis silvestris,WILD,definitive,species,Felis,CARNIVORA,FELIDAE,Felis,LC,,
Felis silvestris silvestris,YES,Felis silvestris,WILD,definitive,species,Felis,CARNIVORA,FELIDAE,Felis,LC,,
fox,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
foxes,YES,Vulpes vulpes,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Glis glis,YES,Glis glis,WILD,deadend,species,Glis,RODENTIA,GLIRIDAE,Glis,LC,,
Gorilla gorilla,YES,Gorilla gorilla,WILD,aberrant,species,Gorilla,PRIMATES,HOMINIDAE,Gorilla,CR,,
Gorilla gorilla gorilla,YES,Gorilla gorilla ssp. gorilla,WILD,aberrant,subspecies,Gorilla,PRIMATES,HOMINIDAE,Gorilla,CR,,
